source,target
Awakku demam wiwit wingi,Saya demam sejak semalam
Awakku mumet,Saya sakit kepala
Aku pengin ketemu dokter,Saya mahu jumpa doktor
Neng endi klinik paling cedhak,Di mana klinik terdekat
Aku watuk parah,Saya batuk teruk
Aku pilek,Saya selsema
Aku krasa mumet,Saya rasa pening
Perutku lara,Perut saya sakit
Aku mau muntah mau,Saya muntah tadi
Aku butuh obat,Saya perlukan ubat
Dokter wis teka,Doktor sudah datang
Tulung telpon perawat,Tolong panggil jururawat
Aku sesek napas,Saya sesak nafas
Aku alergi obat iki,Saya alah pada ubat ini
Getihku tekanan dhuwur,Tekanan darah saya tinggi
Aku kudu periksa,Saya perlu buat pemeriksaan
Aku arep tes getih,Saya nak ambil darah
Kapan janjiku,Bila temujanji saya
Aku arep daftar,Saya nak daftar
Tenggorokanku lara,Saya sakit tekak
Aku demam panas,Saya demam panas
Dadaku lara,Saya sakit dada
Aku angel turu,Saya sukar tidur
Aku kesel banget,Saya letih sangat
Aku mumet,Saya pening kepala
Aku butuh istirahat,Saya perlu rehat
Aku pengin obat demam,Saya nak ubat demam
Untuku lara,Saya sakit gigi
Aku kudu ketemu spesialis,Saya perlu jumpa pakar
Tanganku luka,Saya luka di tangan
Aku tiba wingi,Saya jatuh semalam
Aku butuh perawatan cepet,Saya perlukan rawatan segera
Aku arep njupuk obat neng apotek,Saya nak ambil ubat di farmasi
Suwene nunggu,Berapa lama menunggu
Aku wis njupuk nomor,Saya sudah ambil nombor
Aku butuh suntikan,Saya perlu suntikan
Aku wedi jarum,Saya takut jarum
Aku arep rontgen,Saya nak buat X-ray
Punggungku lara,Saya sakit belakang
Aku ora enak badan dina iki,Saya tidak sihat hari ini
Aku butuh surat sakit,Saya perlu MC
Aku arep tuku obat,Saya nak beli ubat
Sendi ku lara,Saya sakit sendi
Aku krasa lemes,Saya rasa lemah
Kulitku ana ruam,Saya ada ruam kulit
Aku gatel,Saya gatal-gatal
Aku butuh salep,Saya perlukan krim
Telingaku lara,Saya sakit telinga
Aku ora krungu cetha,Saya tidak dengar jelas
Mripatku lara,Saya sakit mata
Pandelenganku burem,Saya penglihatan kabur
Aku arep tes getih,Saya nak buat ujian darah
Aku butuh perawatan lanjut,Saya perlu rawatan lanjut
Aku teka kanggo cek,Saya datang untuk check-up
Aku demam lan watuk,Saya ada demam dan batuk
Aku pengin dokter wadon,Saya nak jumpa doktor wanita
Perutku lara wiwit esuk,Saya sakit perut sejak pagi
Aku ora iso mangan,Saya tidak boleh makan
Aku mual sedina,Saya loya sepanjang hari
Aku muntah pirang-pirang,Saya muntah beberapa kali
Aku butuh banyu,Saya perlu air
Aku wis ngombe obat,Saya dah ambil ubat
Aku isih lara,Saya masih sakit
Aku luwih apik,Saya rasa lebih baik
Aku butuh obat tambahan,Saya perlukan ubat tambahan
Aku ora alergi obat,Saya tidak alah ubat
Aku duwe riwayat penyakit,Saya ada sejarah penyakit
Aku duwe diabetes,Saya ada kencing manis
Aku duwe hipertensi,Saya ada darah tinggi
Aku kudu diet sehat,Saya perlu diet sihat
Aku pengin saran dokter,Saya nak nasihat doktor
Aku kudu luwih istirahat,Saya perlu rehat lebih
Aku bakal teka maneh,Saya akan datang lagi
Aku arep njupuk hasil,Saya nak ambil keputusan
Aku kuwatir kesehatan,Saya risau tentang kesihatan
Aku butuh bantuan cepet,Saya perlukan bantuan segera
Aku ora iso mlaku,Saya tidak boleh berjalan
Aku butuh kursi roda,Saya perlukan kerusi roda
Sikilku lara,Saya sakit kaki
Aku keseleo,Saya terseliuh
Aku butuh perban,Saya perlukan pembalut
Aku getihen,Saya luka berdarah
Aku butuh dijahit,Saya perlukan jahitan
Aku kudu rawat luka,Saya perlu rawatan luka
Aku teka rumah sakit,Saya datang ke hospital
Aku dirawat neng bangsal,Saya dirawat di wad
Aku bakal metu sesuk,Saya akan discaj esok
Aku butuh obat saben dina,Saya perlu ubat harian
Aku bakal nuruti dokter,Saya akan ikut nasihat doktor
Aku arep nggawe janji anyar,Saya nak buat temujanji baru
Muga cepet mari,Saya harap cepat sembuh
Aku demam entheng dina iki,Saya demam ringan hari ini
Awakku krasa panas,Saya rasa badan panas
Aku watuk bengi,Saya batuk waktu malam
Aku rada angel ambegan,Saya susah bernafas sikit
Ototku lara,Saya sakit otot
Aku mumet nek ngadeg,Saya pening bila berdiri
Aku ora napsu mangan,Saya tidak selera makan
Aku mau ngombe obat,Saya minum ubat tadi
Aku isih krasa lara,Saya masih rasa sakit
Aku butuh periksa lanjut,Saya perlukan pemeriksaan lanjut
Guluku lara,Saya ada sakit leher
Aku watuk ana dahak,Saya batuk berdahak
Aku irung mampet,Saya hidung tersumbat
Aku lara nek ngulu,Saya sakit bila menelan
Swara ku serak,Saya suara serak
Dengkulku lara,Saya sakit sendi lutut
Aku ora iso tangi,Saya tidak boleh bangun
Aku butuh istirahat suwe,Saya perlukan rehat panjang
Aku demam rong dina,Saya demam dua hari
Awakku gemeter,Saya badan menggigil
Aku pengin obat watuk,Saya nak ubat batuk
Aku pengin obat pilek,Saya nak ubat selsema
Dadaku lara nek watuk,Saya sakit dada bila batuk
Aku gampang kesel,Saya cepat penat
Pundakku lara,Saya sakit di bahu
Aku ana memar,Saya ada lebam
Sikilku ana luka cilik,Saya luka kecil di kaki
Aku butuh plester,Saya perlu plaster
Aku lara nek obah,Saya sakit bila bergerak
Aku ora iso ngangkat tangan,Saya tidak boleh angkat tangan
Aku teka kanggo kontrol,Saya datang untuk rawatan susulan
Aku pengin ketemu spesialis,Saya nak jumpa doktor pakar
Aku butuh tes luwih lanjut,Saya perlukan ujian lanjut
Aku kudu scan awak,Saya perlu scan badan
Aku duwe penyakit kronis,Saya ada sakit kronik
Aku butuh obat nyeri,Saya perlukan ubat tahan sakit
Aku lara wiwit minggu kepungkur,Saya sakit sejak minggu lepas
Aku duwe masalah ambegan,Saya ada masalah pernafasan
Aku butuh alat bantu,Saya perlu alat bantuan
Aku ora turu nyenyak,Saya tak boleh tidur lena
Aku kerep tangi bengi,Saya bangun kerap malam
Polang tanganku lara,Saya sakit pergelangan tangan
Aku ana bengkak,Saya ada bengkak
Aku krasa kebas,Saya rasa kebas
Drijiku ora krasa,Saya tidak rasa di jari
Aku butuh fisioterapi,Saya perlukan fisioterapi
Aku kudu perawatan saben dina,Saya perlu rawatan harian
Aku teka kanggo vaksin,Saya datang untuk vaksin
Aku wis vaksin,Saya sudah ambil vaksin
Aku ana efek samping,Saya ada kesan sampingan
Aku mumet sawise obat,Saya pening selepas ubat
Aku arep ganti obat,Saya nak tukar ubat
Obat iki ora cocok,Saya tak sesuai ubat ini
Aku butuh obat liyane,Saya perlu ubat lain
Aku teka njupuk obat,Saya datang untuk ambil ubat
Aku obate wis entek,Saya ubat sudah habis
Aku butuh resep,Saya perlukan preskripsi
Pinggangku lara,Saya sakit di pinggang
Aku ora iso lungguh suwe,Saya tidak boleh duduk lama
Aku lara nek mlaku adoh,Saya sakit bila berjalan jauh
Aku cepet kesel nek kerja,Saya cepat letih bila kerja
Aku butuh cuti sakit,Saya perlukan cuti sakit
Aku teka njupuk laporan,Saya datang ambil laporan
Aku pengin takon asil,Saya nak tanya keputusan
Aku kuwatir hasil tes,Saya risau keputusan ujian
Aku butuh saran lanjut,Saya perlukan nasihat lanjut
Aku ana gejala anyar,Saya ada simptom baru
Aku krasa luwih parah,Saya rasa lebih teruk
Aku krasa luwih apik,Saya rasa semakin baik
Aku butuh darurat,Saya perlu rawatan kecemasan
Aku digawa menyang rumah sakit,Saya dibawa ke hospital
Aku mlebu bangsal,Saya dimasukkan wad
Aku dipriksa dokter,Saya diperiksa doktor
Aku butuh operasi,Saya perlu pembedahan
Aku wedi operasi,Saya takut operasi
Aku bakal nuruti perawatan,Saya akan ikut rawatan
Aku kudu ketemu dokter maneh,Saya perlu jumpa doktor lagi
Aku nggawe janji anyar,Saya buat temujanji baru
Aku ngenteni giliran,Saya tunggu giliran
Aku nomorku meh tekan,Saya nombor saya hampir
Aku wis ketemu dokter,Saya sudah jumpa doktor
