source,target
我由琴日開始發燒,Saya demam sejak semalam
我頭痛,Saya sakit kepala
我想見醫生,Saya mahu jumpa doktor
附近有冇診所,Di mana klinik terdekat
我咳得好嚴重,Saya batuk teruk
我傷風,Saya selsema
我覺得暈,Saya rasa pening
我肚痛,Perut saya sakit
我頭先嘔咗,Saya muntah tadi
我需要藥,Saya perlukan ubat
醫生已經嚟咗,Doktor sudah datang
幫我叫護士,Tolong panggil jururawat
我呼吸困難,Saya sesak nafas
我對呢隻藥過敏,Saya alah pada ubat ini
我血壓高,Tekanan darah saya tinggi
我要做檢查,Saya perlu buat pemeriksaan
我要抽血,Saya nak ambil darah
我幾時有預約,Bila temujanji saya
我要登記,Saya nak daftar
我喉嚨痛,Saya sakit tekak
我高燒,Saya demam panas
我胸口痛,Saya sakit dada
我瞓唔著,Saya sukar tidur
我好攰,Saya letih sangat
我頭暈,Saya pening kepala
我需要休息,Saya perlu rehat
我要退燒藥,Saya nak ubat demam
我牙痛,Saya sakit gigi
我要見專科醫生,Saya perlu jumpa pakar
我手受傷,Saya luka di tangan
我琴日跌倒,Saya jatuh semalam
我需要即時治療,Saya perlukan rawatan segera
我要去藥房攞藥,Saya nak ambil ubat di farmasi
要等幾耐,Berapa lama menunggu
我已經攞號碼,Saya sudah ambil nombor
我要打針,Saya perlu suntikan
我驚針,Saya takut jarum
我要照X光,Saya nak buat X-ray
我背痛,Saya sakit belakang
我今日唔舒服,Saya tidak sihat hari ini
我要病假紙,Saya perlu MC
我要買藥,Saya nak beli ubat
我關節痛,Saya sakit sendi
我覺得虛弱,Saya rasa lemah
我皮膚出疹,Saya ada ruam kulit
我好痕,Saya gatal-gatal
我需要藥膏,Saya perlukan krim
我耳仔痛,Saya sakit telinga
我聽唔清,Saya tidak dengar jelas
我眼痛,Saya sakit mata
我視力模糊,Saya penglihatan kabur
我要驗血,Saya nak buat ujian darah
我要進一步治療,Saya perlu rawatan lanjut
我嚟做檢查,Saya datang untuk check-up
我發燒又咳,Saya ada demam dan batuk
我想見女醫生,Saya nak jumpa doktor wanita
我朝早開始肚痛,Saya sakit perut sejak pagi
我食唔落,Saya tidak boleh makan
我成日想嘔,Saya loya sepanjang hari
我嘔咗幾次,Saya muntah beberapa kali
我需要水,Saya perlu air
我已經食咗藥,Saya dah ambil ubat
我仲痛緊,Saya masih sakit
我好啲,Saya rasa lebih baik
我需要多啲藥,Saya perlukan ubat tambahan
我冇藥物敏感,Saya tidak alah ubat
我有病史,Saya ada sejarah penyakit
我有糖尿病,Saya ada kencing manis
我有高血壓,Saya ada darah tinggi
我要健康飲食,Saya perlu diet sihat
我想聽醫生意見,Saya nak nasihat doktor
我需要多啲休息,Saya perlu rehat lebih
我會再嚟,Saya akan datang lagi
我要攞報告,Saya nak ambil keputusan
我擔心健康,Saya risau tentang kesihatan
我需要即刻幫助,Saya perlukan bantuan segera
我行唔到,Saya tidak boleh berjalan
我需要輪椅,Saya perlukan kerusi roda
我腳痛,Saya sakit kaki
我扭親,Saya terseliuh
我需要繃帶,Saya perlukan pembalut
我流血,Saya luka berdarah
我需要縫針,Saya perlukan jahitan
我要處理傷口,Saya perlu rawatan luka
我嚟醫院,Saya datang ke hospital
我喺病房,Saya dirawat di wad
我聽日出院,Saya akan discaj esok
我需要每日食藥,Saya perlu ubat harian
我會跟醫生指示,Saya akan ikut nasihat doktor
我要預約,Saya nak buat temujanji baru
希望快啲好,Saya harap cepat sembuh
我今日有少少發燒,Saya demam ringan hari ini
我覺得個身好熱,Saya rasa badan panas
我夜晚咳,Saya batuk waktu malam
我有啲呼吸困難,Saya susah bernafas sikit
我肌肉痛,Saya sakit otot
我企起身會暈,Saya pening bila berdiri
我冇胃口,Saya tidak selera makan
我啱啱食咗藥,Saya minum ubat tadi
我仲覺得痛,Saya masih rasa sakit
我要再檢查,Saya perlukan pemeriksaan lanjut
我頸痛,Saya ada sakit leher
我咳有痰,Saya batuk berdahak
我鼻塞,Saya hidung tersumbat
我吞嘢會痛,Saya sakit bila menelan
我把聲沙啞,Saya suara serak
我膝頭關節痛,Saya sakit sendi lutut
我起唔到身,Saya tidak boleh bangun
我需要長時間休息,Saya perlukan rehat panjang
我發燒兩日,Saya demam dua hari
我打冷震,Saya badan menggigil
我要止咳藥,Saya nak ubat batuk
我要傷風藥,Saya nak ubat selsema
我咳嗽時胸口痛,Saya sakit dada bila batuk
我好容易攰,Saya cepat penat
我膊頭痛,Saya sakit di bahu
我有瘀傷,Saya ada lebam
我腳有細傷口,Saya luka kecil di kaki
我需要膠布,Saya perlu plaster
我郁會痛,Saya sakit bila bergerak
我舉唔到手,Saya tidak boleh angkat tangan
我嚟覆診,Saya datang untuk rawatan susulan
我要見專科,Saya nak jumpa doktor pakar
我要做多啲測試,Saya perlukan ujian lanjut
我要掃描,Saya perlu scan badan
我有慢性病,Saya ada sakit kronik
我需要止痛藥,Saya perlukan ubat tahan sakit
我上星期開始痛,Saya sakit sejak minggu lepas
我有呼吸問題,Saya ada masalah pernafasan
我需要輔助器,Saya perlu alat bantuan
我瞓得唔好,Saya tak boleh tidur lena
我夜晚成日醒,Saya bangun kerap malam
我手腕痛,Saya sakit pergelangan tangan
我有腫,Saya ada bengkak
我覺得麻痺,Saya rasa kebas
我手指冇感覺,Saya tidak rasa di jari
我要物理治療,Saya perlukan fisioterapi
我要每日治療,Saya perlu rawatan harian
我嚟打疫苗,Saya datang untuk vaksin
我已經打咗針,Saya sudah ambil vaksin
我有副作用,Saya ada kesan sampingan
我食完藥覺得暈,Saya pening selepas ubat
我要換藥,Saya nak tukar ubat
呢隻藥唔啱我,Saya tak sesuai ubat ini
我需要另一隻藥,Saya perlu ubat lain
我嚟攞藥,Saya datang untuk ambil ubat
我啲藥食晒,Saya ubat sudah habis
我需要醫生紙,Saya perlukan preskripsi
我腰痛,Saya sakit di pinggang
我坐唔耐,Saya tidak boleh duduk lama
我行遠會痛,Saya sakit bila berjalan jauh
我做嘢好易攰,Saya cepat letih bila kerja
我要病假,Saya perlukan cuti sakit
我嚟攞報告,Saya datang ambil laporan
我想問結果,Saya nak tanya keputusan
我擔心檢查結果,Saya risau keputusan ujian
我需要多啲建議,Saya perlukan nasihat lanjut
我有新症狀,Saya ada simptom baru
我覺得嚴重咗,Saya rasa lebih teruk
我覺得好轉,Saya rasa semakin baik
我需要急救,Saya perlu rawatan kecemasan
我被送去醫院,Saya dibawa ke hospital
我入咗病房,Saya dimasukkan wad
我畀醫生檢查,Saya diperiksa doktor
我要做手術,Saya perlu pembedahan
我驚做手術,Saya takut operasi
我會跟治療,Saya akan ikut rawatan
我要再見醫生,Saya perlu jumpa doktor lagi
我預約咗新時間,Saya buat temujanji baru
我等緊輪候,Saya tunggu giliran
我差唔多到號,Saya nombor saya hampir
我見咗醫生,Saya sudah jumpa doktor
我治療完成,Saya selesai rawatan
我返屋企,Saya pulang ke rumah
我會食藥,Saya akan makan ubat
我會跟醫生指示,Saya ikut arahan doktor
我要再嚟,Saya perlu datang semula
希望快啲好返,Saya harap cepat sihat
我會照顧健康,Saya akan jaga kesihatan
我要飲多啲水,Saya minum air banyak
我按時食藥,Saya makan ubat ikut masa
我唔會忽視症狀,Saya tidak abaikan simptom
我會休息足夠,Saya akan rehat secukupnya
我肚瀉,Saya mengalami cirit-birit
我要去好多次廁所,Saya ke tandas berkali-kali
我肚抽筋,Saya rasa perut memulas
我淨係夜晚發燒,Saya demam waktu malam sahaja
我深呼吸會痛,Saya sakit bila tarik nafas dalam
我瞓唔平,Saya tidak boleh baring rata
我心跳好快,Saya rasa jantung berdebar
我流好多汗,Saya peluh berlebihan
我手震,Saya tangan menggigil
我隻腳冇力,Saya kaki rasa lemah
我按肚會痛,Saya sakit bila tekan perut
我企唔耐,Saya tidak boleh berdiri lama
我覺得想暈,Saya rasa nak pengsan
我琴晚暈咗,Saya pernah pengsan semalam
我要醫生觀察,Saya perlukan pemerhatian doktor
我夜晚瞓唔好,Saya ada masalah tidur malam
我半夜成日醒,Saya kerap terjaga tengah malam
我病咗之後發惡夢,Saya mimpi buruk sejak sakit
我食慾減少,Saya selera makan berkurang
我瘦咗,Saya berat badan turun
我上腹痛,Saya sakit di bahagian perut atas
我下腹痛,Saya sakit di bahagian bawah perut
我小便痛,Saya kencing sakit
我小便有血,Saya kencing berdarah
我夜晚成日去廁所,Saya kerap kencing malam
我尿濁,Saya air kencing keruh
我要驗尿,Saya perlukan ujian air kencing
我喉嚨乾,Saya rasa tekak kering
我成日口渴,Saya dahaga sepanjang masa
我講嘢會痛,Saya sakit bila bercakap
我失聲,Saya suara hilang
我吞嘢困難,Saya sukar menelan makanan
我要喉糖,Saya perlukan ubat tekak
我長期咳,Saya batuk berpanjangan
我咳血,Saya batuk darah
我行路會喘,Saya sesak nafas bila berjalan
我需要氧氣,Saya perlukan oksigen
我休息都攰,Saya letih walaupun rehat
我偏頭痛,Saya sakit kepala sebelah
我怕光,Saya sensitif pada cahaya
我耳鳴,Saya telinga berdengung
我失去平衡,Saya hilang keseimbangan
我要檢查耳仔,Saya perlukan ujian telinga
我眼紅,Saya mata merah
我眼水多,Saya mata berair
我唔可以開眼耐,Saya tidak boleh buka mata lama
我要眼藥水,Saya perlukan titis mata
我見光會痛,Saya sakit bila melihat cahaya
我皮膚乾,Saya kulit kering
我皮膚裂開,Saya kulit merekah
我傷口有膿,Saya ada luka bernanah
我需要抗生素,Saya perlukan antibiotik
我對某啲食物敏感,Saya alergi makanan tertentu
我食完會痕,Saya gatal selepas makan
我面腫,Saya bengkak di muka
我嘴唇腫,Saya bibir bengkak
我突然呼吸困難,Saya sukar bernafas tiba-tiba
我要去急症室,Saya perlukan rawatan segera di kecemasan
我用救護車送嚟,Saya dibawa dengan ambulans
我意外之後痛,Saya sakit selepas kemalangan
我頭受傷,Saya luka di kepala
我跌倒之後暈,Saya pening selepas jatuh
我食完嘔,Saya muntah selepas makan
我頂唔順痛,Saya tidak boleh tahan sakit
我需要強效藥,Saya perlukan ubat kuat
我畀咗新藥,Saya diberi ubat baru
我唔識點食藥,Saya tidak pasti cara makan ubat
我要醫生解釋,Saya perlu penjelasan doktor
我同屋企人嚟,Saya datang bersama keluarga
我喺診所外面等,Saya menunggu di luar klinik
我入治療室,Saya masuk bilik rawatan
我量體溫,Saya diperiksa suhu badan
我量血壓,Saya tekanan darah diperiksa
醫生問我病史,Saya ditanya sejarah penyakit
醫生畀我建議,Saya diberi nasihat kesihatan
我要每日食藥,Saya perlu minum ubat setiap hari
我要下星期再嚟,Saya perlu kembali minggu depan
我會跟時間表,Saya akan ikut jadual rawatan
我要留意情況,Saya perlu pantau keadaan
情況穩定咗,Saya keadaan semakin stabil
我仲治療緊,Saya masih dalam rawatan
我應該快好返,Saya akan sembuh tidak lama lagi
我要避免某啲食物,Saya perlu elak makanan tertentu
我要飲足夠水,Saya perlu minum air secukupnya
我要早啲瞓,Saya perlu tidur awal
我會控制飲食,Saya akan jaga diet
我會做輕運動,Saya akan bersenam ringan
如果再痛我會再嚟,Saya akan kembali jika sakit berulang
我會跟晒所有指示,Saya akan ikut semua arahan
希望健康會改善,Saya harap kesihatan bertambah baik
我個身震得好犀利,Saya rasa badan menggigil kuat
我大力咳會痛,Saya sakit bila batuk kuat
我唔可以深呼吸,Saya tidak boleh tarik nafas panjang
我胸口覺得緊,Saya dada rasa ketat
我個頭好重,Saya kepala rasa berat
我覺得就嚟暈,Saya rasa hendak pitam
我隻手突然麻痺,Saya tangan rasa kebas tiba-tiba
我隻腳好凍,Saya kaki rasa sejuk
我朝早開始冇力,Saya badan lemah sejak pagi
我食唔到飯,Saya tidak boleh makan nasi
我瞓覺前食藥,Saya minum ubat sebelum tidur
我起身頭痛,Saya bangun dengan sakit kepala
我夜晚更加痛,Saya sakit bertambah waktu malam
我而家要即刻治療,Saya perlukan rawatan segera sekarang
我頂唔順呢個痛,Saya tidak boleh menahan sakit ini
我忽冷忽熱,Saya badan rasa panas dan sejuk
我咳到喉嚨痛,Saya batuk sampai sakit tekak
我把聲越嚟越細,Saya suara semakin perlahan
我講唔到耐,Saya sukar bercakap lama
我講嘢好快攰,Saya cepat letih bila bercakap
我覺得頭有壓力,Saya rasa tekanan di kepala
我對強光敏感,Saya mata tidak tahan cahaya terang
我視線突然變黑,Saya penglihatan jadi gelap sekejap
我耳仔一掂就痛,Saya telinga sakit bila disentuh
我耳入面嗡嗡聲,Saya rasa berdengung dalam telinga
我成日流鼻水,Saya hidung berair sepanjang hari
我停唔到打噴嚏,Saya tidak boleh berhenti bersin
我眼周圍痛,Saya sakit di sekitar mata
我塊面好繃緊,Saya muka rasa tegang
我食嘢個下巴痛,Saya rahang sakit bila makan
我牙怕凍,Saya gigi sensitif pada sejuk
我牙肉流血,Saya gusi berdarah
我成日口乾,Saya mulut kering sepanjang masa
我口氣重,Saya bau mulut kuat
我條脷苦,Saya lidah terasa pahit
我食唔出味,Saya sukar rasa makanan
我肚脹,Saya perut kembung
我成日打嗝,Saya sendawa berlebihan
我胸口有灼熱感,Saya rasa panas di dada
我食完藥嘔,Saya muntah selepas minum ubat
我唔可以飲奶,Saya tidak boleh minum susu
我對某啲藥敏感,Saya alergi ubat tertentu
我皮膚出紅疹,Saya kulit naik ruam merah
我夜晚痕,Saya gatal pada waktu malam
我傷口好慢好返,Saya luka lambat sembuh
我皮膚好熱,Saya kulit rasa panas
我指甲變色,Saya kuku berubah warna
我甩好多頭髮,Saya rambut gugur banyak
我瞓夠都攰,Saya letih walaupun tidur cukup
我起身全身痛,Saya bangun dengan badan sakit
我髖骨痛,Saya sakit di bahagian pinggul
我起身困難,Saya susah bangun dari kerusi
我隻腳好重,Saya kaki rasa berat
我行路唔穩,Saya jalan terhuyung-hayang
我成日失平衡,Saya sering hilang imbangan
我隻手冇力,Saya tangan lemah
我攞唔實嘢,Saya tidak boleh pegang barang kuat
我行路要人扶,Saya perlukan bantuan berjalan
我需要手杖,Saya perlu tongkat
我今日跌咗兩次,Saya jatuh dua kali hari ini
我膝頭受傷,Saya luka di lutut
我行樓梯會痛,Saya sakit bila naik tangga
我落樓梯困難,Saya tidak boleh turun tangga
